dist_cart,dist_road,dist_urb,dist_vil,DVSP,elev,for200090m,for200190m,for200290m,for200390m,for200490m,for200590m,for200690m,for200790m,for200890m,for200990m,for201090m,for201190m,for201290m,for201390m,for201490m,for201590m,for201690m,for201790m,lspop2000,lspop2001,lspop2002,lspop2003,lspop2004,pop05,lspop2006,lspop2007,lspop2008,lspop2009,lspop2010,lspop2011,lspop2012,lspop2013,lspop2014,lspop2015,lspop2016,lspop2017,rice,precip,slope,veg,cfm_id,pa_id,CFM,PA
811.19049072,4304.9980469,55373.222656,1575.0305176,84.800003052,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,6,3,3,4,3,3,3,3,5,2,2,2,5,3,2,1,0,1554,1.0461409092,2,207,0,1,0
1620.3914795,7975.4282227,44206.335938,5417.7797852,24,1036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,5,4,2,8,3,3,3,3,3,11,3,3,3,24,4,3,1,1,1428,3.3067171574,1,608,0,1,0
1270.1571045,6268.9130859,225887.28125,2515.1965332,25,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,18,19,18,18,20,20,21,21,22,20,20,20,22,23,21,10,0,431,2.5940313339,3,482,0,1,0
4965.6054688,6062.9501953,67754,4721.9677734,5,261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,29,44,45,5,1,2,2,2,3,2,3,3,3,1,1,2,1,0,658,3.4832265377,3,500,0,1,0
744.79986572,14691.996094,49419.851563,1712.4880371,10,360,1,1,1,1,1,1,1,1,1,1,1,1,1,0.777777791,0.777777791,0.777777791,0.4444444478,0,6,4,4,2,7,5,4,4,5,5,9,5,5,5,9,5,5,3,0,2673,17.07966423,1,386,0,1,0
1483.6245117,12714.311523,39261.128906,1625.7647705,24,1005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1422,10.063028336,1,602,0,1,0
4382.4018555,7120.5585938,35066.0625,4594.7036133,3,701,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,25.17999649,1,754,0,1,0
7742.1469727,28784.207031,48482.859375,7775.0668945,171,832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3,2,1,1,1,1,2,1,1,1,2,1,1,1,0,1921,21.780397415,1,849,0,1,0
920.90576172,13689.393555,85495.976563,3659.833252,37,1556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,6,5,1,4,4,4,4,4,4,4,4,4,4,4,1,0,1379,3.5554380417,1,1139,0,1,0
519.54852295,4508.5063477,63614.59375,1216.2532959,2.5,60,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,4,6,4,4,9,5,5,5,5,5,5,5,6,7,8,7,4,0,1439,1.9031174183,2,190,0,1,0
5119.7021484,2857.9477539,30862.03125,3220.1672363,79,67,1,1,1,1,1,1,1,1,1,1,0.3333333433,0.3333333433,0.3333333433,0.3333333433,0.3333333433,0.3333333433,0.3333333433,0.3333333433,3,6,13,8,1,1,0,0,1,1,0,1,1,0,1,2,1,4,0,2413,4.2535176277,1,1212,0,1,0
5656.0200195,7149.3764648,21787.705078,5121.0698242,32,763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8888888955,14,10,6,5,5,1,4,4,4,4,4,4,4,5,4,4,4,5,0,1931,3.9471259117,1,766,0,1,0
3312.15625,3018.8227539,170909.85938,5014.2958984,72,112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,10,10,8,5,2,2,2,2,2,3,1,2,2,3,2,2,1,0,473,0.8890762925,3,450,0,1,0
1194.135498,29410.396484,113897.83594,16099.966797,24,191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,535,1.8774169683,3,493,0,1,0
7725.1699219,30404.667969,102216.03906,15617.047852,10,164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,4,5,3,4,1,1,1,1,1,1,1,1,1,3,2,2,1,0,535,0.643040657,3,493,0,1,0
2242.8632813,11100.946289,48533.890625,4038.8261719,3.5,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,3,1,2,2,2,2,3,2,2,2,5,4,3,1,0,977,3.596044302,2,578,0,1,0
2328.869873,9596.4404297,26785.582031,2720.4729004,24,1135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,11,4,3,12,1,5,4,5,5,1,5,5,5,1,5,4,2,1,1314,13.405680656,1,650,0,1,0
1048.307251,4042.3400879,65279.304688,7387.1660156,5,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,3,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,971,0.4411320686,2,575,0,1,0
1745.7823486,11822.266602,62090.617188,1872.9719238,240,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,7,1,1,1,1,8,1,1,1,11,1,1,0,0,1088,1.1721841097,2,1014,0,1,0
5515.9482422,12084.77832,48906.328125,3581.9523926,4,365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,14.549499512,1,743,0,1,0
5083.1523438,6499.949707,24933.927734,4595.7172852,74,475,1,1,1,1,1,0.777777791,0.777777791,0.777777791,0.777777791,0.777777791,0.777777791,0.777777791,0.777777791,0.777777791,0.777777791,0.777777791,0.777777791,0.777777791,8,9,13,11,5,1,1,1,2,2,5,1,2,2,5,2,2,0,0,2641,6.7047548294,1,846,0,1,0
1547.418335,30121.324219,50500.414063,1803.5223389,171,833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,5,4,11,4,8,9,9,9,5,10,11,11,6,11,10,4,0,1898,11.129123688,1,849,0,1,0
6081.956543,11947.708984,45329.003906,4945.5214844,7,1220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,9.4391422272,1,947,0,1,0
4935.203125,14668.007813,50199.257813,5061.5986328,24,985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,4.751812458,1,607,0,1,0
5423.6943359,5833.3120117,13317.763672,3431.0534668,3.1666669846,436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,33.533714294,1,728,0,1,0
6204.6621094,3950.484375,37100.371094,5111.9814453,3,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,19,4,3,3,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1888,0.2466036677,1,108,0,1,0
1572.6677246,11444.78125,47656.867188,2376.6391602,6,1132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,27,11,6,9,2,2,2,2,2,2,2,2,2,1,1,1,0,0,1515,2.032705307,1,981,0,1,0
